name,role,role_category,company,region,source_url,source_type,confidence,verification_status,dataAsOf,source_run_id
Andrea Aliscioni,Direttore Generale Acea ATO2,other,Acea Ato 2,Lazio,https://it.linkedin.com/in/andrea-aliscioni,linkedin-search,0.5,unverified,2026-07-23T16:03:46.245Z,2026-07-23T15-29-14-971Z__736be5a4
Sebastiano Lopez,"Responsabile, Innovation & IT Management (DIRIT)",digital-transformation,Acquedotto Pugliese (AQP),Puglia,https://www.aqp.it/societa-trasparente/organizzazione/articolazione-uffici/uffici/innovation-it-management-dirit,company-team-page,0.6,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Michele Tessera,Direttore Digital Hub - CIO,digital-transformation,Gruppo CAP,Lombardia,https://www.linkedin.com/in/michele-tessera-ba0427110/,linkedin-search,0.6,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Michela Bergamini,"Innovation and Aqueduct Technologies, Water Management Division (title also appears publicly as 'Specialista della qualità')",innovation,Gruppo Hera,"Emilia-Romagna (also Marche, north-eastern Italy, three Tuscan municipalities)",https://www.linkedin.com/in/michela-bergamini-53b17290/,linkedin-search,0.4,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Stefano Sebastio,Direttore Generale,operations,Abbanoa,Sardegna,https://www.abbanoa.it/Societa-Trasparente/Selezione-del-Personale/Reclutamento-del-Personale/Selezioni-Chiuse/Selezione-Direttore-Generale3,company-team-page,0.4,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Giovanni Sciortino,Amministratore Unico (Sole Administrator/CEO),operations,AMAP S.p.A.,Sicilia (Città Metropolitana di Palermo),https://qds.it/palermo-super-tecnologica-control-room-amap/,press-mention,0.5,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Monica Manto,Direttore Generale,operations,Acquevenete S.p.A.,Veneto (Padova/Rovigo),https://www.acquevenete.it/titolari-di-incarichi-dirigenziali-amministrativi-di-vertice,company-team-page,0.5,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Roberto Gasparetto,"Presidente (President), coordinating internal auditing, legal and corporate affairs, communications and stakeholder relations",other,AcegasApsAmga,"Veneto / Friuli-Venezia Giulia (Padova, Trieste)",https://www.acegasapsamga.it/azienda/chi-siamo/governo-e-organizzazione,company-team-page,0.3,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Alberto Piccoli,"Direttore Generale (newly appointed, formerly of Acque del Chiampo)",operations,Viacqua S.p.A.,Veneto (Vicenza),https://www.ecovicentino.it/vicenza/viacqua-nominato-il-nuovo-direttore-generale-e-lex-acque-del-chiampo-ing-alberto-piccoli/,press-mention,0.5,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Giovanni Celani,Direttore Generale (confirmed/renewed),operations,CIIP SpA (Cicli Integrati Impianti Primari),Marche / Abruzzo,https://veratv.it/articoli/id-32837/ascoli-piceno---giovanni-celani-confermato-direttore-generale-della-ciip,press-mention,0.5,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Ezio Nini,"Direttore Generale (appointed 25 October 2023, effective 20 November 2023)",operations,Uniacque S.p.A.,Lombardia (Bergamo),https://www.uniacque.bg.it/amministrazione-trasparente/personale/incarico-direttore-generale/,company-team-page,0.55,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Enrico Pochettino,Direttore Innovazione (Director of Innovation),innovation,Gruppo Iren,Piemonte / Liguria / Emilia-Romagna,https://www.linkedin.com/in/enrico-pochettino-772b478/,linkedin-search,0.65,unverified,2026-07-24T11:57:04.027Z,2026-07-24T08-49-42-948Z__cfa09872
Massimo Burruano,Dirigente operazioni,operations,Siciliacque S.p.A.,Sicilia,https://www.linkedin.com/in/massimo-burruano-809229176/,linkedin-search,0.5,unverified,2026-07-25T10:15:06.716Z,2026-07-25T09-40-14-107Z__b5971aea
Davide Maimone,Direttore Generale,other,AMAM S.p.A. (Azienda Meridionale Acque Messina),Sicilia (Messina),https://www.messinaindiretta.it/messina-davide-maimone-nominato-direttore-generale-dellamam/,press-mention,0.4,unverified,2026-07-25T10:15:06.716Z,2026-07-25T09-40-14-107Z__b5971aea
Claudio Guarneri,Direttore Generale,operations,AICA (Azienda Idrica Comuni Agrigentini),Sicilia (Agrigento province),https://www.grandangoloagrigento.it/agrigento-notizie/crisi-idrica-nellagrigentino-come-funziona-il-servizio-di-autobotti-lintervista-al-direttore-generale-di-aica-claudio-guarneri,press-mention,0.3,unverified,2026-07-28T10:57:58.138Z,2026-07-25T09-40-14-107Z__b5971aea
Antonio Coniglio,Direttore Generale,operations,Acoset S.p.A.,Sicilia (Catania province — Consorzio Calatino),https://www.virgilio.it/italia/catania/notizielocali/acoset_antonio_coniglio_confermato_direttore_generale_dell_azienda-74709116.html,press-mention,0.5,unverified,2026-07-28T10:57:58.138Z,2026-07-25T09-40-14-107Z__b5971aea
Pierluigi Carugno,Direttore Generale,operations,"ATI Trapani (Assemblea Territoriale Idrica di Trapani), formerly ATO Idrico n°7 Trapani",Sicilia (Trapani province),https://www.trapanisi.it/ati-trapani-revocato-il-commissariamento-regionale-si-apre-fase-decisiva-per-il-servizio-idrico/,press-mention,0.5,unverified,2026-07-25T10:15:06.716Z,2026-07-25T09-40-14-107Z__b5971aea
Bartolo Giaquinta,Presidente (Sindaco di Giarratana),other,ATI Ragusa (Assemblea Territoriale Idrica di Ragusa),Sicilia (Ragusa province),https://www.ildomanibleo.com/2026/06/19/ati-ragusa-progetti-bocciati-dalla-regione-mauro-chiede-il-commissariamento-la-replica-di-giaquinta/,press-mention,0.5,unverified,2026-07-25T10:15:06.716Z,2026-07-25T09-40-14-107Z__b5971aea
Giovanni Paolo Marati,Direttore Generale (Director General),operations,Sorical S.p.A. (Società Risorse Idriche Calabresi),Calabria,https://www.corrieredellacalabria.it/2026/02/07/il-dg-marati-sorical-sta-costruendo-un-modello-pubblico-unico-nel-mezzogiorno/,press-mention,0.8,unverified,2026-07-26T15:07:26.519Z,2026-07-26T10-37-38-791Z__705731b4
Francesco Iennarella,Responsabile Cyber Security e Sistemi Informativi,digital-transformation,Sorical S.p.A. (Società Risorse Idriche Calabresi),Calabria,https://www.crotoneok.it/ecomondo-presentato-il-progetto-delle-reti-digitali-di-sorical/,press-mention,0.5,unverified,2026-07-26T15:07:26.519Z,2026-07-26T10-37-38-791Z__705731b4
Mauro Locanto,Responsabile Area Investimenti e Servizi Tecnici,asset-management,Sorical S.p.A. (Società Risorse Idriche Calabresi),Calabria,https://www.crotoneok.it/ecomondo-presentato-il-progetto-delle-reti-digitali-di-sorical/,press-mention,0.5,unverified,2026-07-26T15:07:26.519Z,2026-07-26T10-37-38-791Z__705731b4
Matteo Frisinghelli,Responsabile Operativo Servizio Idrico (Operational Water Service Manager),operations,Novareti S.p.A.,Trentino-Alto Adige (Province of Trento),https://www.linkedin.com/in/matteo-frisinghelli-0414bb229/,linkedin-search,0.75,unverified,2026-07-26T14:35:57.967Z,2026-07-26T12-50-05-944Z__a7c6658d
Andrea Mirandola,ICT Manager (Responsabile ICT),digital-transformation,Etra S.p.A.,"Veneto (Padova, Treviso, Vicenza provinces)",https://www.theinnovationgroup.it/speakers/andrea-mirandola/,press-mention,0.4,unverified,2026-07-26T15:47:48.860Z,2026-07-26T15-29-15-127Z__6f4bdfee
Francesca Cavaletto,"Engineer, designer, and BIM Coordinator",asset-management,Acquevenete S.p.A.,"Veneto (Padova, Rovigo, Vicenza, Verona, Venezia provinces)",https://www.acquevenete.it/innovazione,company-team-page,0.5,unverified,2026-07-26T15:47:48.860Z,2026-07-26T15-29-15-127Z__6f4bdfee
Luciano Caroti,"ICT Manager, Publiacqua S.p.A.",digital-transformation,Publiacqua S.p.A.,"Toscana — provinces of Firenze, Prato, Pistoia, Arezzo (ATO3)",https://www.linkedin.com/in/luciano-caroti-4423263/,linkedin-search,0.5,unverified,2026-07-27T11:54:22.756Z,2026-07-27T11-39-25-488Z__cac519a3
Andrea Guastamacchia,Amministratore Delegato,digital-transformation,Acque S.p.A.,"Toscana — provinces of Pisa, Lucca, Firenze (ATO2)",https://www.acque.net/notizie/andrea-guastamacchia-nuovo-ad-di-acque/,company-team-page,0.6,unverified,2026-07-28T11:02:43.614Z,2026-07-27T11-39-25-488Z__cac519a3
Michela Ticciati,"Responsabile Unità Esercizio Area Operation (also referenced as ""Responsabile tecnico""), Acquedotto del Fiora S.p.A.",operations,Acquedotto del Fiora S.p.A.,"Toscana — provinces of Grosseto, Siena (ATO6)",https://it.linkedin.com/in/ticciati-michela-06856411a,linkedin-search,0.6,unverified,2026-07-27T11:54:22.756Z,2026-07-27T11-39-25-488Z__cac519a3
Michele Del Corso,"Direttore Progettazione e Gestione Investimenti (Director of Planning and Investment Management), ASA S.p.A.",asset-management,ASA S.p.A.,"Toscana — provinces of Livorno, Pisa, Siena (ATO5 Toscana Costa)",https://www.asaspa.it/wp-content/uploads/2019/11/Del-Corso-Michele-CV-2019_rev2.pdf,company-team-page,0.4,unverified,2026-07-27T11:54:22.756Z,2026-07-27T11-39-25-488Z__cac519a3
Francesca Menabuoni,"Amministratore Delegato (CEO), Nuove Acque S.p.A.",other,Nuove Acque S.p.A.,"Toscana — provinces of Arezzo, Siena (ATO4)",https://festivalacqua.org/protagonisti/francesca-menabuoni/,press-mention,0.6,unverified,2026-07-27T11:54:22.756Z,2026-07-27T11-39-25-488Z__cac519a3
Salvatore Pipus,"Amministratore Delegato e Direttore Generale (CEO & General Manager), GEAL S.p.A.",other,GEAL S.p.A.,"Toscana — Comune di Lucca (single-municipality historic affidamento within ATO1; distinct from ATO1's designated gestore, GAIA)",https://www.geal-lucca.it/2025/05/13/lassemblea-degli-azionisti-di-geal-s-p-a-approva-il-bilancio-2024/,press-mention,0.6,unverified,2026-07-27T11:54:22.756Z,2026-07-27T11-39-25-488Z__cac519a3
